ply
format ascii 1.0
element vertex 4554
property float x
property float y
property float z
end_header
2.11456667724452 7.73985252565221 0.421903995099388 
-2.73103245753099e-06 -3.40374740618323e-06 1.45425895098388e-07 
-2.20003136478108e-06 -2.86774920874953e-06 1.29393132785661e-07 
1.09486751830648e-05 -3.81650465071952e-05 1.72918241636319e-06 
1.9046957780003 7.41161821832298 0.412327111231349 
-4.57669003658042e-06 -7.7010493318579e-06 3.49142274708014e-07 
-2.03651063950153e-06 -2.97480893489525e-06 1.36769404233267e-07 
-4.76344260499487e-06 -7.80760558876578e-06 3.60269170010981e-07 
-0.161614530150954 -0.150905537560795 0.0169308636345134 
-0.107687897722457 -0.183381060499947 0.0085393155394793 
-53.2586172345096 -57.8040709508774 2.76121860604052 
-6.05103011014258e-06 -9.08472806530826e-06 4.39216400390604e-07 
-10.8145969571847 -11.9220330119997 0.58255469471111 
-4.00728644539916e-06 -4.57893807681906e-06 2.25400010764603e-07 
-93.015911895018 -99.8522630835886 4.90315947101853 
-4.40971984237373e-06 -5.30595932572988e-06 2.64545407305488e-07 
-4.88467853386695e-06 -5.17917321312928e-06 2.64833593946981e-07 
0.000145455622983662 -0.000248400108220205 1.26990581874995e-05 
0.000369266624440131 -0.000593403224555056 3.03507355897906e-05 
-3.09879808199954e-06 -3.45132045828964e-06 1.77631820856069e-07 
-4.84507285149101e-06 -5.65708098109278e-06 2.90717206666799e-07 
-5.17234180566462e-06 -5.59569506589319e-06 2.89152071042101e-07 
-8.7256630324559e-06 -8.46622380525321e-06 4.51311127765346e-07 
-3.17470129623427e-06 -4.60468749700628e-06 2.44270296842798e-07 
0.640467937744474 4.96847328684496 0.307516864702432 
0.000120070989787108 -0.000181240634927023 9.65956096532676e-06 
0.000381119158703279 -0.00064199911532468 3.44908785364051e-05 
0.000196619010460841 -0.000280126555636355 1.50270307592693e-05 
-1.65203803712682e-06 -8.02500472781536e-06 4.36913046087384e-07 
0.0727014068139753 -0.110202974907849 0.00600294919122304 
-8.35555206396395e-06 -1.15888566999359e-05 6.37217263745039e-07 
1.37049215093e-05 -2.52089145306708e-05 1.38607313071006e-06 
-6.00462337375198e-06 -7.98043908022911e-06 4.39436589659176e-07 
93.2674995871 -578.824994364105 32.9073225908664 
2.69241459215695e-06 -1.3618418009796e-05 7.57406006863569e-07 
3.60349435726137e-05 -5.9688500047457e-05 3.3444091515588e-06 
-0.436917493753722 -0.582702584283238 0.0391370519085811 
-2.54927454010735e-06 -3.64280986695244e-06 2.04856351163814e-07 
1.18740086402284e-07 -2.69697239773547e-06 1.52434558960617e-07 
9.87151668606921e-06 -2.52518460557857e-05 1.43338065937906e-06 
0.000209894457248287 -0.00029837916022484 1.68924523065661e-05 
2.73112700718218e-06 -6.74425679515912e-06 3.84048621833443e-07 
6.52856932793533e-06 -1.35660693863399e-05 7.73145101095959e-07 
-1.10919978028328e-05 -9.63680383323368e-06 5.51573085477464e-07 
-26.7392631239656 -25.3026965140166 1.44979145896692 
236.725395128559 -585.204117082461 35.0650304739779 
-1.42746975079558e-05 -1.25019390943906e-05 7.21743621136174e-07 
5.78461254299127e-06 -1.23599750734331e-05 7.13170633827816e-07 
7.06393376204767e-06 -1.43053538425729e-05 8.25674624221592e-07 
-4.39308504617151e-06 -4.04763872180863e-06 2.35332109287377e-07 
-4.27914219780343e-06 -4.00102286778201e-06 2.334249938268e-07 
-1.69552537827847e-06 -2.67446254725591e-06 1.57317439794481e-07 
-8.91714275659656e-06 -1.06096002183572e-05 6.27052369249309e-07 
-1.98906880091963e-06 -2.70377304209508e-06 1.61269210313298e-07 
0.260222113882068 -0.453047112799678 0.0376555216597945 
